# id	left	top	right	bottom	texture_id
[SPRITES]

60501	327	161	334	248	50

#BUSH
#nua khung tron tren cung
60011	130	18	137	25	60
60012	138	18	145	25	60		
60013	146	18	153	25	60
60014	154	18	161	25	60
#giua khung trai - phai
60021	130	26	137	33	60
60022	154	26	161	33	60

#doc ben phai - giua - trai
60031	154	34	161	41	60
60032	146	34	153	41	60
60033	21	34	28	41	60

#GRASS
60101	52	6	67	21	50
#CLOUD 
60201	72	1	119	23	50
60202	127	0	158	22	50
60203	64	65	127	87	50
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
