# id	left	top	right	bottom	texture_id
[SPRITES]

20001	372	117	387	132	20
#cục màu xanh hồng 
#first
#pink lefttopid _ middletopid _ righttopid
20011	133	101	141	110	50
20012	142	101	150	110	50
20013	172	101	180	110	50

#leftmiddleid _ middlemiddleid _ rightmiddleid
20014	133	110	141	117	50
20015	142	110	150	117	50
20016	172	110	180	117	50

#leftbottomid _ middlebottomid _ rightbottomid
20017	133	140	141	148	50
20018	142	140	150	148	50
20019	172	140	180	148	50

#blue 
20021	165	69	173	77	50
20022	174	69	182	77	50
20023	204	69	212	77	50

20024	165	81	173	89	50
20025	174	81	182	89	50
20026	204	81	212	89	50

20027	577	256	585	264	50
20028	586	256	594	264	50
#20029	631	256	640	264	50
20029	318	240	326	248	50
#GREEN
20031	71	199	79	207	50
20032	80	199	88	207	50
20033	126	199	134	207	50

20034	71	209	79	216	50
20035	80	209	88	216	50
20036	126	209	134	216	50

20037	71	222	79	230	50
20038	80	222	88	230	50
20039	126	222	134	230	50

#WHITE
20041	344	37	352	45	50
20042	359	37	366	45	50
20043	399	37	407	45	50

20044	344	48	352	56	50
20045	359	48	366	56	50
20045	399	48	366	56	50

#path
20101	0	778	152	799	50
20102	42	258	228	293	50
20103	285	369	462	404	50
20104	461	506	612	527	50

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
10000	20001	100


